"date","samples","bases sequenced (MB)"
"2015-06-04","1",1647.27
"2015-08-27","22",34082.67
"2015-09-11","23",29168.01
"2016-01-15","2",23007.41
"2016-05-26","6",69942.79
"2016-08-12","2",4499.2300000000005
"2016-08-17","3",35270.17
"2016-08-19","6",9377.01
"2016-08-19","1",1355.06
"2016-08-22","4",66607.82
"2016-08-26","1",1158.1
"2016-09-02","10",15248.839999999998
"2016-09-08","2",2935.59
"2016-09-15","21",31393.08
"2016-09-22","8",12843.77
"2016-09-26","8",150923.72999999998
"2016-10-07","4",5675.870000000001
"2016-10-14","8",10723.93
"2016-10-16","16",54454.950000000004
"2016-10-21","3",5360.13
"2016-11-02","8",129833.62
"2016-11-04","6",9801.320000000002
"2016-11-09","7",124306.97
"2016-11-11","11",18967.130000000005
"2016-11-17","3",4079.9799999999996
"2016-11-25","10",16288.48
"2016-11-28","11",175057.17
"2016-11-30","2",2119.16
"2016-12-02","3",5393.55
"2016-12-09","23",34086.83000000001
"2016-12-16","22",29242.950000000004
"2016-12-16","1",179.23
"2016-12-23","22",26132.18
"2016-12-23","1",228.44
"2017-01-03","8",4864.43
"2017-01-04","12",134769.48
"2017-01-06","22",54493.679999999986
"2017-01-10","22",36523.88
"2017-01-10","1",142.07
"2017-01-13","23",36709.99
"2017-01-20","22",34788.79
"2017-01-25","12",149162.97
"2017-01-27","16",35684.79000000001
"2017-02-03","16",15260.709999999995
"2017-02-03","4",10731.689999999999
"2017-02-06","11",158827.31
"2017-02-09","8",111919.75
"2017-02-10","39",48584.73
"2017-02-17","10",22457.680000000004
"2017-02-17","8",5950.38
"2017-02-20","12",172799.60000000003
"2017-02-24","23",18602.53
"2017-03-01","32",36944.979999999996
"2017-03-03","12",134607.35000000003
"2017-03-06","21",51807.63
"2017-03-13","24",56864.259999999995
"2017-03-14","24",54533.55
"2017-03-17","24",50799.80000000001
"2017-03-22","10",168871.88
"2017-03-24","5",24980.29
"2017-03-24","14",27657.609999999997
"2017-03-27","10",163243.96
"2017-03-31","24",54701.37
"2017-04-05","10",149842.50999999998
"2017-04-07","8",22203.71
"2017-04-07","8",34408.090000000004
"2017-04-13","24",63327.20000000001
"2017-04-21","24",54751
"2017-04-24","10",154933.25
"2017-04-28","24",62689.34000000001
